"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 24 04:19:29 GMT 2024","Wed Jan 24 04:19:40 GMT 2024","11474","tests","test_select_menu","TestSelect","","","test_select_menu[chromium]","Test to verify the dropdown menus on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 24 04:19:06 GMT 2024","Wed Jan 24 04:19:06 GMT 2024","573","tests","test_buttons","TestButtons","","","test_double_click_button","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 24 04:19:16 GMT 2024","Wed Jan 24 04:19:21 GMT 2024","4226","tests","test_check_boxes","TestCheckBoxes","","","test_check_boxes[chromium]","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 24 04:19:44 GMT 2024","Wed Jan 24 04:19:49 GMT 2024","5199","tests","test_text_boxes","TestTextBoxes","","","test_text_boxes[chromium]","Test to verify the input fields and output form on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 24 04:19:13 GMT 2024","Wed Jan 24 04:19:13 GMT 2024","494","tests","test_buttons","TestButtons","","","test_dynamic_button","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 24 04:19:09 GMT 2024","Wed Jan 24 04:19:10 GMT 2024","355","tests","test_buttons","TestButtons","","","test_rmb_click_button","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 24 04:19:24 GMT 2024","Wed Jan 24 04:19:26 GMT 2024","2079","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
