"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 17 10:41:42 GMT 2024","Wed Jan 17 10:41:42 GMT 2024","0","tests","test_text_boxes","TestTextBoxes","","","test_text_boxes[chromium]","Test to verify the input fields and output form on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Wed Jan 17 10:39:07 GMT 2024","Wed Jan 17 10:39:07 GMT 2024","0","tests","test_buttons","TestButtons","","","test_rmb_click_button","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Wed Jan 17 10:40:08 GMT 2024","Wed Jan 17 10:40:08 GMT 2024","0","tests","test_check_boxes","TestCheckBoxes","","","test_check_boxes[chromium]","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Wed Jan 17 10:41:11 GMT 2024","Wed Jan 17 10:41:11 GMT 2024","0","tests","test_select_menu","TestSelect","","","test_select_menu[chromium]","Test to verify the dropdown menus on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Wed Jan 17 10:39:38 GMT 2024","Wed Jan 17 10:39:38 GMT 2024","0","tests","test_buttons","TestButtons","","","test_dynamic_button","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Wed Jan 17 10:38:29 GMT 2024","Wed Jan 17 10:38:29 GMT 2024","0","tests","test_buttons","TestButtons","","","test_double_click_button","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Wed Jan 17 10:40:39 GMT 2024","Wed Jan 17 10:40:39 GMT 2024","0","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
