"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 26 04:19:09 GMT 2024","Fri Jan 26 04:19:20 GMT 2024","11447","tests","test_select_menu","TestSelect","","","test_select_menu[chromium]","Test to verify the dropdown menus on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Jan 26 04:18:28 GMT 2024","Fri Jan 26 04:18:28 GMT 2024","720","tests","test_buttons","TestButtons","","","test_dynamic_button","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Jan 26 04:18:20 GMT 2024","Fri Jan 26 04:18:21 GMT 2024","527","tests","test_buttons","TestButtons","","","test_double_click_button","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Fri Jan 26 04:18:28 GMT 2024","Fri Jan 26 04:18:28 GMT 2024","0","tests","test_check_boxes","TestCheckBoxes","","","test_check_boxes[chromium]","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Jan 26 04:19:03 GMT 2024","Fri Jan 26 04:19:05 GMT 2024","2080","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Jan 26 04:19:23 GMT 2024","Fri Jan 26 04:19:29 GMT 2024","5184","tests","test_text_boxes","TestTextBoxes","","","test_text_boxes[chromium]","Test to verify the input fields and output form on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Fri Jan 26 04:18:24 GMT 2024","Fri Jan 26 04:18:24 GMT 2024","306","tests","test_buttons","TestButtons","","","test_rmb_click_button","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
