"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 16 17:35:40 GMT 2024","Tue Jan 16 17:35:40 GMT 2024","577","tests","test_buttons","TestButtons","","","test_dynamic_button","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 16 17:35:36 GMT 2024","Tue Jan 16 17:35:36 GMT 2024","491","tests","test_buttons","TestButtons","","","test_rmb_click_button","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 16 17:35:56 GMT 2024","Tue Jan 16 17:35:59 GMT 2024","2167","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 16 17:35:48 GMT 2024","Tue Jan 16 17:35:52 GMT 2024","4252","tests","test_check_boxes","TestCheckBoxes","","","test_check_boxes[chromium]","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 16 17:35:33 GMT 2024","Tue Jan 16 17:35:34 GMT 2024","438","tests","test_buttons","TestButtons","","","test_double_click_button","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 16 17:36:02 GMT 2024","Tue Jan 16 17:36:13 GMT 2024","11518","tests","test_select_menu","TestSelect","","","test_select_menu[chromium]","Test to verify the dropdown menus on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
