"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 04:18:54 GMT 2024","Thu Jan 25 04:18:55 GMT 2024","529","tests","test_buttons","TestButtons","","","test_dynamic_button","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Jan 25 04:19:04 GMT 2024","Thu Jan 25 04:19:06 GMT 2024","2086","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Jan 25 04:18:51 GMT 2024","Thu Jan 25 04:18:52 GMT 2024","680","tests","test_buttons","TestButtons","","","test_rmb_click_button","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Jan 25 04:19:24 GMT 2024","Thu Jan 25 04:19:29 GMT 2024","5198","tests","test_text_boxes","TestTextBoxes","","","test_text_boxes[chromium]","Test to verify the input fields and output form on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Jan 25 04:18:57 GMT 2024","Thu Jan 25 04:19:02 GMT 2024","4325","tests","test_check_boxes","TestCheckBoxes","","","test_check_boxes[chromium]","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Jan 25 04:19:10 GMT 2024","Thu Jan 25 04:19:21 GMT 2024","11429","tests","test_select_menu","TestSelect","","","test_select_menu[chromium]","Test to verify the dropdown menus on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Jan 25 04:18:48 GMT 2024","Thu Jan 25 04:18:49 GMT 2024","656","tests","test_buttons","TestButtons","","","test_double_click_button","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
