"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 08:25:32 GMT 2024","Wed Jan 17 08:25:32 GMT 2024","466","tests","test_buttons","TestButtons","","","test_dynamic_button","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 17 08:25:26 GMT 2024","Wed Jan 17 08:25:26 GMT 2024","536","tests","test_buttons","TestButtons","","","test_double_click_button","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 17 08:25:29 GMT 2024","Wed Jan 17 08:25:29 GMT 2024","444","tests","test_buttons","TestButtons","","","test_rmb_click_button","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 17 08:25:47 GMT 2024","Wed Jan 17 08:25:58 GMT 2024","11488","tests","test_select_menu","TestSelect","","","test_select_menu[chromium]","Test to verify the dropdown menus on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 17 08:25:35 GMT 2024","Wed Jan 17 08:25:39 GMT 2024","4292","tests","test_check_boxes","TestCheckBoxes","","","test_check_boxes[chromium]","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 17 08:26:01 GMT 2024","Wed Jan 17 08:26:06 GMT 2024","5183","tests","test_text_boxes","TestTextBoxes","","","test_text_boxes[chromium]","Test to verify the input fields and output form on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 17 08:25:41 GMT 2024","Wed Jan 17 08:25:44 GMT 2024","2089","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
