"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 08:52:21 GMT 2024","Wed Jan 17 08:52:22 GMT 2024","481","tests","test_buttons","TestButtons","","","test_double_click_button","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 17 08:53:03 GMT 2024","Wed Jan 17 08:53:09 GMT 2024","5197","tests","test_text_boxes","TestTextBoxes","","","test_text_boxes[chromium]","Test to verify the input fields and output form on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 17 08:52:34 GMT 2024","Wed Jan 17 08:52:39 GMT 2024","4246","tests","test_check_boxes","TestCheckBoxes","","","test_check_boxes[chromium]","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 17 08:52:48 GMT 2024","Wed Jan 17 08:52:59 GMT 2024","11510","tests","test_select_menu","TestSelect","","","test_select_menu[chromium]","Test to verify the dropdown menus on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 17 08:52:29 GMT 2024","Wed Jan 17 08:52:30 GMT 2024","517","tests","test_buttons","TestButtons","","","test_dynamic_button","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 17 08:52:25 GMT 2024","Wed Jan 17 08:52:26 GMT 2024","531","tests","test_buttons","TestButtons","","","test_rmb_click_button","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jan 17 08:52:42 GMT 2024","Wed Jan 17 08:52:44 GMT 2024","2083","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
